x,y
-0.040309,-3.703878
1.795509,3.828300
-2.975805,2.492723
3.588290,0.863861
3.245516,0.240818
4.017272,-0.094221
-3.298427,0.245069
-3.275743,3.400564
1.628578,4.630260
1.088803,-2.898370
-1.220997,-4.278118
3.636084,0.035554
0.501112,-3.734970
3.677747,3.100660
1.263821,-0.422678
-0.733140,1.280913
-0.677666,0.215008
4.560166,0.142761
1.987387,-3.937539
-1.666812,4.355691
-4.638414,-1.717723
4.002815,-1.989080
1.887547,2.823854
2.969451,-3.270411
-1.719551,-0.002581
3.557581,-1.828017
0.831301,-1.700815
-4.551141,1.704064
3.065238,1.910634
3.161932,0.607237
1.809691,-1.827268
-4.342226,0.707754
-1.742782,-2.892485
2.774593,-2.551956
-0.230782,0.645356
3.116416,-2.393499
3.853440,0.673342
-0.734093,3.858038
1.838117,-4.496113
2.493824,-3.290341
2.819661,-1.018436
-1.080723,3.123753
0.788616,-4.101081
1.221692,-0.114475
-4.024153,-0.689463
-0.066793,4.094079
2.224995,0.555844
0.108823,-1.792014
1.805632,2.150675
-2.286072,1.966378
-1.373938,3.516705
-2.869625,1.652358
4.128750,-2.768171
-1.427429,0.716636
1.950243,-1.190996
0.684999,-1.887727
-0.964965,3.923844
-1.044017,2.289611
-2.334845,2.491239
-1.947063,-1.523019
-0.915500,-1.770904
1.635915,-0.288375
3.626561,-1.804520
-1.418081,-1.201507
2.123978,0.635041
-2.913941,-0.852689
-3.725141,2.578402
-1.496792,-0.432603
4.431909,1.143157
1.549438,-0.041266
4.627757,1.730709
-0.486122,3.388210
4.442781,2.163497
-3.715889,-1.145997
-2.566471,3.448886
-0.701208,0.698571
0.647781,-2.578867
1.427692,-0.983163
1.374801,2.348069
-0.311944,1.694368
-2.778209,0.480764
2.442091,2.095892
-0.957965,0.828245
-1.337544,3.939896
3.320369,-1.772057
0.818494,2.442295
-0.650659,-3.557786
0.325903,1.497431
-2.672035,-2.694233
-4.194424,-2.374702
-2.727721,0.723714
1.667061,-3.729097
0.309645,1.788593
-4.188760,0.602051
2.673427,-0.296550
0.871313,1.954635
-3.674247,-1.078302
-0.189689,0.683159
3.243024,3.194729
0.204150,-0.275154
-3.635837,-1.930311
-2.285891,-1.234870
-4.114420,-1.204739
1.962868,4.494648
-2.265455,-1.042373
3.186567,2.061486
-1.580057,-3.507772
3.586393,1.201701
0.881053,2.191070
-1.338550,4.693294
-0.604417,3.288284
1.749727,-4.254253
-0.982611,4.064660
2.437730,1.222047
4.105270,1.868610
1.859977,2.540301
-3.693824,2.895383
1.250322,3.601183
0.441185,4.674264
1.677046,3.807993
-1.283604,4.060014
-3.538564,-0.108060
4.809961,-0.875424
1.046381,-3.873608
1.522834,2.877039
1.269306,-3.680855
-0.171875,-0.671036
