x0,x1,x2,x3
2.509254,0.569199,1.392193,3.187530
3.079327,-1.611387,1.566555,-0.249566
-0.322467,1.282756,0.450008,4.543313
3.966455,0.634158,2.313372,1.739078
3.305245,-0.453857,0.692577,-1.889455
-4.102703,1.050377,1.389165,-1.192673
3.434441,-2.200649,0.069239,-0.283234
1.894129,1.815758,0.191476,0.467314
-1.947580,-4.345372,-0.763232,0.342991
3.409854,3.332497,-1.073509,-0.837858
-1.467129,-1.986880,-2.387403,2.729513
-1.494720,-1.284795,-3.674228,2.280242
-2.240271,-0.295307,-1.243008,0.537064
-1.824160,-4.216210,-0.100643,1.529636
0.326310,1.483818,-3.111756,-1.779478
-1.085130,-0.580201,-1.312151,-2.785653
0.499593,-1.131328,-4.590283,1.303094
-3.837090,0.219684,3.083425,0.545487
1.593931,-1.727424,0.562844,-0.957995
-3.960470,-2.632665,-1.416971,0.255445
-1.839922,1.422521,0.735341,-2.425927
2.349896,2.993540,1.861250,-0.284095
-1.547738,1.524176,-0.582779,1.767005
0.535723,2.512103,0.916643,1.817442
0.018739,3.187134,0.226492,0.717406
2.411791,-1.726103,-1.627137,1.241527
-1.285718,2.130167,-0.453317,-0.819194
2.162128,1.664669,2.099856,1.018744
-1.249123,2.770361,-0.388713,1.163884
2.842890,-0.465216,1.842973,2.767724
0.951521,-2.779044,0.753881,3.352812
-1.676770,-0.361236,-1.050513,4.464345
2.210047,1.339457,-2.530960,1.772684
-2.505012,0.118244,-2.362042,2.512815
2.113847,-0.763647,1.451805,-4.007287
-4.100466,1.208182,0.458297,1.746127
3.912933,1.550760,-1.498781,1.834051
-2.721287,-0.954554,-0.141123,3.543181
-2.833453,-3.144222,-0.374567,-2.524232
2.275490,-2.181160,-2.317567,-0.884274
-1.022818,3.962715,1.949843,0.179806
-1.591950,1.096903,-1.299369,-2.006795
3.193904,0.852070,2.475640,0.856869
2.411068,-1.831946,-2.910295,1.917965
-2.095660,-1.798661,-1.188237,0.045594
-0.548478,-2.130348,-0.997222,-3.444938
1.488015,-3.812805,-2.628368,0.124150
-1.708978,3.565589,-2.987526,0.617100
-0.143296,-4.260987,1.908816,-0.625769
0.766798,0.818177,2.149242,1.327882
-1.074986,-0.697026,3.201997,1.908002
1.460832,-3.690024,-0.055514,-1.684246
0.890545,-0.312253,2.895621,1.009190
2.406859,-1.427655,-2.890841,-1.255115
-0.035164,0.783322,4.667698,-0.087303
-3.712104,-1.343509,-1.800225,1.869678
-4.556300,0.187072,0.462806,0.686584
-1.608538,-0.640710,-3.834915,-1.328483
-1.714281,1.313828,-3.651062,2.466914
2.356506,-3.263956,0.672126,1.067350
-2.634980,-1.642207,-0.549290,-1.230981
-0.661767,-3.589245,2.467775,2.312057
-2.101327,-3.788508,1.346171,-1.487548
0.632397,-1.422598,3.080784,3.095086
-1.420913,-2.708995,-3.099815,1.195285
-4.005549,-1.707585,-2.009124,-0.177112
-3.787173,0.369232,1.024679,0.172945
-0.464863,0.145641,0.596688,-4.145813
4.577272,0.912905,-1.526782,-0.914918
0.652116,-0.153346,-2.682052,2.726705
-0.274521,2.533535,-1.718663,3.815497
0.737155,1.567390,-2.690871,3.117938
1.020506,1.925931,-0.929183,-0.711624
3.618768,-1.664970,-0.213537,1.785718
0.568171,3.389284,-2.322391,2.151499
-2.731871,3.467053,-0.247074,-1.422213
1.568581,-1.084476,-3.140675,-3.170002
1.696688,-0.390252,-0.326980,2.635725
-2.032783,-1.318136,-0.694320,0.170209
-0.633130,-4.307105,-0.925212,-1.611000
-2.117296,-2.392074,0.807711,-2.621345
-1.810201,-0.488451,-0.246604,3.529705
-1.409854,1.887129,1.494858,-2.378656
0.831968,-1.273775,-2.861089,0.652359
-3.252494,0.835281,-1.267016,3.074041
2.643966,-1.121877,-1.702015,-3.004165
-2.141104,-1.361396,-1.770938,0.760948
1.150542,0.695380,-1.519701,-2.859426
3.346862,-1.691050,-1.599916,-1.278350
-2.019225,-0.523657,-0.525500,0.679650
1.824379,0.009850,2.434000,0.887993
-0.167716,1.721088,-2.038993,-4.222821
-0.831725,-3.504215,0.871204,-3.085180
4.064260,-1.204642,0.239013,2.384751
1.071246,-2.615399,-0.344536,1.465672
-2.532796,0.577645,-3.364269,-1.525112
0.043063,-1.846825,-1.098599,-1.640730
4.041799,0.402743,1.391193,-0.546077
-0.907441,-4.150318,-0.749296,-1.955141
1.533516,2.039689,2.621471,1.523914
-1.692583,-3.154991,2.167597,1.007352
-3.168171,0.636812,1.459136,0.105560
-0.445184,-1.942963,-3.479934,1.925280
-0.791550,-0.597838,4.436981,1.752803
0.562771,0.215596,2.306773,2.609682
1.575561,0.986902,-3.550464,0.209715
-0.195743,0.141350,1.418789,-4.121775
-1.270984,0.602559,-1.042228,-3.163230
3.104337,0.989114,-3.469232,1.124672
3.473666,0.022377,3.384789,0.330884
-1.491999,-4.376840,-0.324391,0.733460
3.023037,-0.397307,1.578822,-3.329468
-1.771705,-0.249898,-2.387453,1.856866
0.911224,0.549130,0.666805,3.976467
-0.916281,-4.302182,0.389484,-0.098892
-2.065753,-3.907143,-1.753089,0.723839
-0.724020,3.473761,-1.383058,-1.142032
-3.264652,0.358735,-2.876347,-0.769517
-0.508990,-1.310421,3.210603,1.836020
2.480875,-1.659548,2.122525,0.932819
2.019719,2.695309,-2.379353,-1.110962
1.109632,-3.416154,1.946726,0.711542
-0.202072,0.974937,-4.553684,-1.547215
1.674022,1.974869,4.102157,-0.112472
-2.222021,-1.735075,-3.434971,-0.262689
1.213752,-0.108592,3.476825,-0.742764
-0.685537,-1.146870,-3.221265,-3.093280
-1.583823,1.748054,1.202497,1.846826
-2.641950,-3.904040,-1.308978,0.348672
0.883112,1.855816,0.503421,3.086029
-0.393720,-1.614954,-2.973554,-1.572315
0.273333,-1.003298,1.057512,1.594411
-2.821347,1.028783,-2.666583,0.478045
3.012246,0.159497,-3.147058,-1.439714
-3.141832,-2.188391,-2.436380,-1.319470
0.293117,-1.659421,-0.332303,2.084634
-0.659546,-0.761040,1.848770,-4.388200
4.046490,-2.164414,0.561493,0.329922
2.473897,-0.702413,-1.779759,3.406732
-2.613562,0.022479,-1.490113,-0.841909
2.256516,-0.050034,0.218857,-1.998812
-3.416471,0.921113,1.662476,2.890873
0.014115,0.862162,0.742373,-2.993398
0.159073,3.300910,2.535661,-1.564086
-1.924781,-2.671840,-0.313111,2.707124
-2.415254,-0.816581,-1.410445,0.971343
-2.610909,-2.216797,-1.021876,2.097891
-0.363307,-2.820375,0.503044,0.406503
-0.801883,-3.959488,1.284891,1.385173
-2.116265,-0.975807,-4.187915,-0.804075
